nombre,url,categoria,categoria_url,imagen
ADONIS,http://mbnecuador.com/mbnecuador/releases/adonis/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/ADONIS-ADS-1.jpg&a=c&w=420&h=420&q=90
PABLO JARA,http://mbnecuador.com/mbnecuador/releases/pablo-jara/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/IMG_2662.jpg&a=c&w=420&h=420&q=90
JEYKO MUSIC IND,http://mbnecuador.com/mbnecuador/releases/jeyko-music-ind/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/mm.jpg&a=c&w=420&h=420&q=90
ONLY CHARLY,http://mbnecuador.com/mbnecuador/releases/only-charly/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/themost.jpg&a=c&w=420&h=420&q=90
EL COMBO DEL REY,http://mbnecuador.com/mbnecuador/releases/el-combo-del-rey/,Tropical,http://mbnecuador.com/mbnecuador/releases-genre/tropical/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/El-Combo-del-Rey-1024x683.jpg&a=c&w=420&h=420&q=90
LOS KE KEDAN,http://mbnecuador.com/mbnecuador/releases/los-ke-kedan-2/,Pop Rock,http://mbnecuador.com/mbnecuador/releases-genre/pop-rock/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/IMG_1738-1.jpg&a=c&w=420&h=420&q=90
DEMENCIA,http://mbnecuador.com/mbnecuador/releases/demencia/,Thrash Death,http://mbnecuador.com/mbnecuador/releases-genre/thrash-death/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/libro-straight-for-the-jugular-a3.1-01.jpg&a=c&w=420&h=420&q=90
MAMBRU-MUSIC,http://mbnecuador.com/mbnecuador/releases/mambru-music/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/MAMBRU-1-1024x684.jpg&a=c&w=420&h=420&q=90
NARVAEZ,http://mbnecuador.com/mbnecuador/releases/narvaez/,Pop,http://mbnecuador.com/mbnecuador/releases-genre/pop/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/CANTARLE.jpg&a=c&w=420&h=420&q=90
ESTEBAN GLEZ,http://mbnecuador.com/mbnecuador/releases/esteban-glez/,Urbano,http://mbnecuador.com/mbnecuador/releases-genre/urbano/,http://mbnecuador.com/mbnecuador/wp-content/themes/eprom_1_4_8/thumb.php?src=http://mbnecuador.com/mbnecuador/wp-content/uploads/2017/06/IMG-20170522-WA0025.jpg&a=c&w=420&h=420&q=90
